Register Report - All Dates

12/05/2018 through 30/05/2042 (in U.S. Dollars)

	Date	Account	Num	Description	Memo	Category	Tag	Clr	Amount	
										
	BALANCE 11/05/2018								0.00	
	12/05/2018	Ins ALIZ 842K		Opening Balance	Cap. Ins. 842,252 (732393)	[Ins ALIZ 842K]			0.00	
	12/05/2018	Ins ALIZ 842K		Saving Insurance By TMB	Insurance KrungThai AXA	[CD TMB Fast 12-01-20]	Credit TMB 1st		20,000.00	
	28/05/2018	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[CD TMB Fast 12-01-20]	Credit TMB 1st		50,000.00	
	29/05/2018	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-50,000.00	
	11/06/2018	Ins ALIZ 842K		Bank Expense	Fine for cancel Ins AXA	B4 Utility Expense:Bank Charge			-500.00	
	18/06/2018	Ins ALIZ 842K		Credit Return	Cancelled Insurance	[GHB Savings]			-19,500.00	
	23/06/2019	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-30,957.78	
	23/06/2019	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[CD TMB Smart 12-01-20]	Credit TMB Smart 1st		50,000.00	
	23/08/2020	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-11,183.17	
	23/08/2020	Ins ALIZ 842K		Saving Insurance	Insurance Allianze	[CD KTC 21-05-15]	Credit KTC 1st		50,000.00	
	24/05/2021	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-8,253.60	
	24/05/2021	Ins ALIZ 842K		Saving Insurance By TMB	Insurance Allianze	[CD Citi Cash 23-09-25]	Credit Citi Cash 1st		50,000.00	
	29/05/2022	Ins ALIZ 842K		Insurance Expense	Insurance Expense	B3 My Expense:Insurance Expense			-7,521.21	
